all_metrics_no_bins
all_metrics,,,,,,,,,,,,,,
,Z0_opt_bins_val,Z0_opt_bins_train,Z0_opt_bins_test,Z0unc_opt_bins_val,Z0unc_opt_bins_train,Z0unc_opt_bins_test,Z0_40bins_val,Z0_40bins_train,Z0_40bins_test,rel_ewww_highest_bin_val,rel_ewww_highest_bin_train,rel_ewww_highest_bin_test,learning_rate,weight_EWWW
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_5_0.12_2320343406698659294,9.590689195605930,10.011875684574200,9.587207742415000,6.7841399599602600,7.081984722475650,6.8044320181868600,9.949656872802820,10.03430460235840,9.88376224680887,0.19897772484004800,0.23683551886098000,0.21080560940747700,5,0.12
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_3_0.1_2538206489658789630,9.603020445839160,9.942788065782650,9.592003721311270,6.632487596689150,7.093285187422470,6.771941050060050,10.088335755914400,10.372484407606300,9.989880661107120,0.20964541847713000,0.2518977337163110,0.2285935802087970,3,0.1
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_15_0.2_7005648370032011162,8.361989873121450,9.58797362453697,8.240591268444610,5.706071287830790,5.136075181847350,5.618627153641890,8.940248297072250,8.574668694765870,8.92733051710861,0.16106751751934200,0.15531416476111000,0.15840233512285100,15,0.2
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_7_0.16_3647387938018057234,9.248667330221450,11.743195716116900,9.205612462379320,6.143460867242480,5.806447322586930,6.16250965056935,9.900552052330630,9.505349343464190,9.610292457928710,0.16287221889854600,0.17997599250806400,0.18131665233383800,7,0.16
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_7_0.06_232886414756333768,9.931148531562960,10.07115023112330,10.0681750000826,7.002179217838770,7.0608904894351600,7.176386117523350,10.326447363437100,10.57565089614810,10.415711343232100,0.23574122902376300,0.2320771489216510,0.27720873538171300,7,0.06
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_5_0.1_3718672910800435288,9.791848856261190,10.518927573305700,9.678512240721690,6.932436347961940,6.538620076997440,6.839617799896,10.235379238325800,9.806442199590280,10.132358949502200,0.22175602667557400,0.2199323627353110,0.22452357244565000,5,0.1
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_7_0.18_4787407976933632300,9.568300456931910,9.978434176274920,9.378245469790540,6.653309783490660,6.376257967095280,6.537025734227090,9.8047649097957,9.585165541605720,9.758378350651900,0.18736555924607100,0.1898905221923800,0.17619160571224800,7,0.18
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_15_0.14_7018748589215948353,7.680973219680820,4.775048267308250,7.19107421605933,5.297085032295230,2.953634625912300,5.043089281847530,7.959392577683780,7.147980961320030,7.588391490380790,0.20993098203501300,-0.31646797909044400,0.167203472961162,15,0.14
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_5_0.2_7015686146078312979,9.229274428804760,9.705956280402060,9.378582789973870,6.21254214053647,6.5965031751586400,6.506877045091720,9.56050707175923,10.601708638236700,9.642080459399410,0.15415491086021700,0.17524616506393500,0.1663076321829110,5,0.2
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_7_0.2_1853974857978295512,9.378495265595280,10.193824525579100,9.353910828193850,6.35209586333385,6.490086575018090,6.418310594982970,9.652974244500150,10.004175917424000,9.715690283049220,0.16900054171144800,0.19112353964645700,0.17356275230659700,7,0.2
dropout-02-5-fold-aggressive-lr-schedule-2-fine-scan-ewww-scan-etafix/210805_12_0.2_7470856429101764735,8.10987145853499,5.648085978403120,7.86508484031204,5.16554000248908,2.708483146344290,4.877775991960040,8.63386943876659,7.733927151281360,8.428896297650480,0.16131197804636600,-0.24024904777440500,0.16250249965151400,12,0.2
